id,retweet_count,favorite_count
842846295480000512,3606,15192
842765311967449089,1268,6691
842535590457499648,3474,18010
842163532590374912,5747,24285
842115215311396866,3012,13898
841833993020538882,14959,0
841680585030541313,7759,25597
841439858740625411,3664,12579
841320156043304961,5470,19711
841314665196081154,4625,15775
841077006473256960,5281,22768
840761248237133825,1758,0
840728873075638272,16046,0
840698636975636481,2,174
840696689258311684,966,12239
840632337062862849,1758,8973
840370681858686976,4517,16405
840268004936019968,5693,19193
839990271299457024,2267,13383
839549326359670784,7713,27388
839290600511926273,143,0
839239871831150596,6505,27051
838952994649550848,3986,19599
838921590096166913,2056,11129
838916489579200512,35,0
838831947270979586,10968,0
838561493054533637,1333,10923
838476387338051585,4762,22466
838201503651401729,10031,0
838150277551247360,332,1671
838085839343206401,1,138
838083903487373313,3131,17614
837820167694528512,7839,34085
837482249356513284,442,3848
837471256429613056,2272,12795
837110210464448512,2363,16060
836989968035819520,2293,12768
836753516572119041,4633,19325
836677758902222849,2225,12609
836648853927522308,555,0
836397794269200385,27490,0
836380477523124226,2991,14760
836260088725786625,4305,21319
836001077879255040,4264,19092
835685285446955009,8134,0
835574547218894849,3626,17800
835536468978302976,1698,0
835309094223372289,20954,0
835297930240217089,3018,16488
835264098648616962,1698,7746
835246439529840640,73,2100
835172783151792128,5774,26212
835152434251116546,3021,22426
834931633769889797,1649,10814
834786237630337024,5506,21396
834574053763584002,2541,13678
834477809192075265,10668,0
834458053273591808,1688,9634
834209720923721728,4764,20643
834167344700198914,3668,15861
834089966724603904,2143,10082
834086379323871233,2216,13111
833863086058651648,2417,13468
833826103416520705,3789,18093
833732339549220864,222,0
833722901757046785,3226,20863
833479644947025920,2062,14880
833124694597443584,4857,20254
832998151111966721,2209,13284
832769181346996225,39,0
832757312314028032,3641,16912
832682457690300417,2928,11916
832645525019123713,532,2941
832636094638288896,2801,15903
832397543355072512,2229,12010
832369877331693569,3206,17238
832273440279240704,2347,11391
832215909146226688,6232,0
832215726631055365,9371,0
832088576586297345,2,62
832040443403784192,9672,0
832032802820481025,4680,17943
831939777352105988,6162,24097
831926988323639298,34,336
831911600680497154,6540,27731
831670449226514432,1832,10492
831650051525054464,1935,7174
831552930092285952,2326,9019
831322785565769729,1563,9310
831315979191906304,1134,6572
831309418084069378,2479,11811
831262627380748289,2062,11958
830956169170665475,1507,8007
830583320585068544,16873,67185
830173239259324417,5718,0
830097400375152640,2968,9854
829878982036299777,5050,0
829861396166877184,1960,12303
829501995190984704,10668,31922
829449946868879360,2038,10519
829141528400556032,7400,24536
829011960981237760,16405,53401
828801551087042563,3442,0
828770345708580865,5912,25722
828708714936930305,11259,36712
828650029636317184,1360,9564
828409743546925057,1174,6379
828408677031882754,1304,7720
828381636999917570,2229,12657
828376505180889089,1081,7426
828372645993398273,2964,12636
828361771580813312,173,2210
828046555563323392,2892,11814
828011680017821696,2166,10417
827933404142436356,5290,20244
827653905312006145,3038,15599
827600520311402496,952,7498
827324948884643840,3078,15960
827199976799354881,2240,10651
826958653328592898,5050,21718
826848821049180160,10261,36608
826615380357632002,4024,0
826598799820865537,255,5150
826598365270007810,2365,10122
826476773533745153,4229,18533
826240494070030336,2633,13392
826204788643753985,934,4916
826115272272650244,3168,15780
825876512159186944,1893,10562
825829644528148480,2517,12829
825535076884762624,17702,57262
825147591692263424,4595,18457
825120256414846976,1275,0
825026590719483904,1275,6360
824796380199809024,5550,0
824775126675836928,3559,15035
824663926340194305,1790,10606
824325613288833024,10624,11925
824297048279236611,3914,15197
824025158776213504,604,4870
823939628516474880,2737,10716
823719002937630720,11326,0
823699002998870016,2551,14116
823581115634085888,2651,13155
823333489516937216,25,707
823322678127919110,4081,15878
823269594223824897,10007,0
822975315408461824,3494,17465
822872901745569793,43767,132844
822859134160621569,2310,13400
822647212903690241,6490,0
822610361945911296,2997,14961
822489057087389700,6490,18354
822462944365645825,14496,28331
822244816520155136,10007,35299
822163064745328640,4837,0
821886076407029760,2347,11436
821813639212650496,3396,0
821765923262631936,1678,8508
821522889702862852,1788,8113
821421320206483457,5667,0
821407182352777218,4396,11907
821153421864615936,10,259
821149554670182400,2020,8748
821107785811234820,2166,9705
821044531881721856,2314,12804
820837357901512704,6828,0
820749716845686786,10031,31925
820690176645140481,3280,12346
820494788566847489,571,0
820446719150292993,2603,0
820314633777061888,571,3383
820078625395449857,6382,20039
820013781606658049,1193,0
819952236453363712,1193,5392
819924195358416896,4939,13046
819711362133872643,3164,13550
819588359383371776,2017,9755
819347104292290561,1227,7306
819238181065359361,412,2300
819227688460238848,6828,23353
819015337530290176,37359,0
819015331746349057,19223,0
819006400881917954,19223,45836
819004803107983360,37359,87969
818646164899774465,21324,0
818627210458333184,7653,22683
818614493328580609,2608,9975
818588835076603904,6248,0
818536468981415936,2499,11041
818307523543449600,8220,0
818259473185828864,2305,11168
818145370475810820,2613,12453
817908911860748288,818,4925
817827839487737858,27490,52350
817777686764523521,2736,10887
817536400337801217,3019,11936
817502432452313088,3447,0
817423860136083457,14959,34324
817415592588222464,968,5683
817181837579653120,8597,0
817171292965273600,2059,8894
817120970343411712,2646,12382
817056546584727552,1673,8715
816829038950027264,4787,0
816816676327063552,2077,10150
816697700272001025,2234,9938
816450570814898180,8220,30867
816336735214911488,1981,8724
816091915477250048,2181,9061
816062466425819140,1041,0
816014286006976512,5370,0
815990720817401858,1041,5024
815966073409433600,8597,22745
815745968457060357,4210,0
815736392542261248,2308,9991
815639385530101762,1678,8346
815390420867969024,3869,10523
814986499976527872,1300,7766
814638523311648768,2747,11442
814578408554463233,5945,0
814530161257443328,1902,8789
814153002265309185,8838,29188
813944609378369540,3240,0
813910438903693312,1903,9433
813812741911748608,14230,36996
813800681631023104,1799,8443
813217897535406080,7438,18934
813202720496779264,1843,9383
813187593374461952,4449,20187
813172488309972993,1964,9431
813157409116065792,2257,7885
813142292504645637,2431,8604
813130366689148928,456,4549
813127251579564032,3190,12031
813112105746448384,2798,10456
813096984823349248,3688,10736
813081950185472002,2830,10045
813066809284972545,1994,8083
813051746834595840,7507,21330
812781120811126785,1944,7703
812709060537683968,1462,6724
812503143955202048,1245,6183
812466873996607488,1973,8094
812372279581671427,3735,13879
811985624773361665,1431,7381
811744202451197953,1634,7673
811647686436880384,760,5705
811627233043480576,3148,12979
811386762094317568,6508,21280
810984652412424192,1465,5435
810896069567610880,1808,9166
810657578271330305,2704,11156
810284430598270976,11538,35885
810254108431155201,3442,14959
809920764300447744,4024,15802
809808892968534016,5001,0
809448704142938112,1498,7054
809220051211603969,5718,20274
809084759137812480,3602,13470
808838249661788160,3110,10290
808733504066486276,2212,8041
808501579447930884,2662,11506
808344865868283904,21324,43330
808134635716833280,6063,0
808106460588765185,2250,8939
808001312164028416,3605,12755
807621403335917568,3699,14841
807106840509214720,56641,120426
807059379405148160,7505,0
807010152071229440,3946,13308
806629075125202948,35418,76082
806620845233815552,5649,0
806576416489959424,1989,4982
806542213899489280,2403,10410
806242860592926720,11886,0
806219024703037440,1217,6539
805958939288408065,5486,0
805932879469572096,1959,8419
805826884734976000,1866,6688
805823200554876929,8209,0
805520635690676224,1688,5851
805487436403003392,2570,8950
805207613751304193,1755,7974
804738756058218496,3905,13948
804475857670639616,2060,6252
804413760345620481,3305,0
804026241225523202,16519,45313
803773340896923648,2805,10239
803692223237865472,7584,0
803638050916102144,4227,11143
803380650405482500,1900,7913
803321560782307329,5443,0
803276597545603072,2511,10209
802952499103731712,2055,9166
802624713319034886,2977,0
802600418706604034,1502,7229
802572683846291456,2569,9095
802323869084381190,5964,16507
802265048156610565,1406,6889
802239329049477120,2682,9242
802185808107208704,279,0
801958328846974976,1750,7888
801854953262350336,243,1812
801538201127157760,2114,8374
801285448605831168,842,6170
801167903437357056,6063,24945
801127390143516673,4035,0
801115127852503040,2150,8225
800859414831898624,98,696
800855607700029440,1642,0
800751577355128832,2863,10750
800513324630806528,3055,13379
800459316964663297,2223,9679
800443802682937345,4419,0
800388270626521089,2872,11348
800188575492947969,4029,0
800141422401830912,2603,15560
800018252395122689,13465,28891
799774291445383169,4802,0
799757965289017345,2216,8547
799422933579902976,1970,8207
799308762079035393,5595,0
799297110730567681,2825,10074
799063482566066176,2518,8213
798933969379225600,4568,13339
798925684722855936,1474,7638
798705661114773508,6795,0
798701998996647937,7965,0
798697898615730177,6653,0
798694562394996736,5074,0
798686750113755136,2385,0
798682547630837760,4819,0
798673117451325440,5669,0
798665375516884993,4000,0
798644042770751489,1893,0
798628517273620480,2019,0
798585098161549313,5847,0
798576900688019456,5979,0
798340744599797760,3423,0
798209839306514432,2615,10617
797971864723324932,3179,11831
797545162159308800,4982,14825
797236660651966464,6737,20315
797165961484890113,26,225
796904159865868288,9125,0
796865951799083009,1957,7821
796759840936919040,3106,12063
796563435802726400,7432,0
796484825502875648,1800,7718
796387464403357696,4244,11208
796177847564038144,14605,0
796149749086875649,14605,32853
796125600683540480,1850,5050
796116448414461957,2473,9269
796080075804475393,2363,8611
796031486298386433,3798,11006
795464331001561088,24184,50575
